,S2,S2_conf
"('C(2, -3)', 'C(3, -1)')",-0.28238589442588824,0.5668948617844399
"('C(2, -3)', 'C(3, 0)')",-0.18894363188841046,1.0435412752278463
"('C(2, -3)', 'C(3, 1)')",-0.46359562252547315,0.7217796179133676
"('C(2, -3)', 'C(3, 2)')",-0.4250577394487299,0.8917141143985273
"('C(2, -3)', 'C(3, 3)')",-0.3659017717534464,0.3908651266002168
"('C(2, -3)', 'C(4, -3)')",0.2179654019300098,0.46884309172691413
"('C(2, -3)', 'C(4, -2)')",0.07766668551824922,0.48777226765702725
"('C(2, -3)', 'C(4, -1)')",-0.11127668318611333,0.6238417120548281
"('C(2, -3)', 'C(4, 0)')",0.2102396090421904,0.6468317212827505
"('C(2, -3)', 'C(4, 1)')",-0.10014980684276703,0.4956484980293218
"('C(2, -3)', 'C(4, 2)')",-0.0670067281318906,0.4543502437660951
"('C(2, -3)', 'C(4, 3)')",-0.14330567430258884,0.5105098291764825
"('C(2, -2)', 'C(2, -1)')",0.1372840559302927,0.6743777296113211
"('C(2, -2)', 'C(2, 0)')",0.1991774105623492,0.6581415144914973
"('C(2, -2)', 'C(2, 1)')",-0.34929528078999483,0.5516910608832087
"('C(2, -2)', 'C(2, 2)')",-0.16083527271010178,0.6564318746754915
"('C(2, -2)', 'C(2, 3)')",0.30687986328355343,0.8125735843849328
"('C(2, -2)', 'C(3, -3)')",0.26584937682580445,0.5366234160649237
"('C(2, -2)', 'C(3, -2)')",0.07282552938568525,0.5629566285406092
"('C(2, -2)', 'C(3, -1)')",-0.032715002558477424,0.6832032097904376
"('C(2, -2)', 'C(3, 0)')",-0.46206025242849247,0.7627073228922314
"('C(2, -2)', 'C(3, 1)')",-0.24396606818518984,0.6784008157473554
"('C(2, -2)', 'C(3, 2)')",-0.2818541648789159,0.7290783921346676
"('C(2, -2)', 'C(3, 3)')",-0.20795487797829595,0.4778766178107333
"('C(2, -2)', 'C(4, -3)')",-0.05879294714973109,0.48726081729318954
"('C(2, -2)', 'C(4, -2)')",-0.11222340577993435,0.4117090041810623
"('C(2, -2)', 'C(4, -1)')",-0.2508557879602767,0.6631227282788442
"('C(2, -2)', 'C(4, 0)')",0.25781418707325815,0.6987702336949577
"('C(2, -2)', 'C(4, 1)')",0.2216844742212341,0.709888628257429
"('C(2, -2)', 'C(4, 2)')",0.09230223267465106,0.5366627234481398
"('C(2, -2)', 'C(4, 3)')",0.22927391773308456,0.6913202690072926
"('C(2, -1)', 'C(2, 0)')",0.0779880208773841,0.6437540469297544
"('C(2, -1)', 'C(2, 1)')",-0.3486348977112408,0.6163564046367225
"('C(2, -1)', 'C(2, 2)')",-0.11012935897251377,0.6650268337330726
"('C(2, -1)', 'C(2, 3)')",0.07241963836455467,0.6628796835509985
"('C(2, -1)', 'C(3, -3)')",0.09369806046548051,0.5558502888593232
"('C(2, -1)', 'C(3, -2)')",-0.1384172732137655,0.4182616540478119
"('C(2, -1)', 'C(3, -1)')",-0.3900273128501286,0.4824432677826344
"('C(2, -1)', 'C(3, 0)')",-0.1936931462829266,0.7085492028142337
"('C(2, -1)', 'C(3, 1)')",-0.35421047174976517,0.6420554631395484
"('C(2, -1)', 'C(3, 2)')",-0.18763525246898483,0.6089228586816499
"('C(2, -1)', 'C(3, 3)')",-0.33729721868026846,0.7634330292127078
"('C(2, -1)', 'C(4, -3)')",0.01453955386167588,0.6022883182392692
"('C(2, -1)', 'C(4, -2)')",0.012784935541745717,0.43657500368482133
"('C(2, -1)', 'C(4, -1)')",-0.4679954519511405,0.8742990266497858
"('C(2, -1)', 'C(4, 0)')",0.18012727005326554,0.541468174810767
"('C(2, -1)', 'C(4, 1)')",0.09367008525730243,0.5658029359700123
"('C(2, -1)', 'C(4, 2)')",0.1571521680617074,0.6355755674581632
"('C(2, -1)', 'C(4, 3)')",-0.1393956698134668,0.5627239818469877
"('C(2, 0)', 'C(2, 1)')",0.01264268049951528,0.4869556989038648
"('C(2, 0)', 'C(2, 2)')",-0.09466897131384827,0.5381467604777082
"('C(2, 0)', 'C(2, 3)')",0.35238972921373957,0.6221825589848516
"('C(2, 0)', 'C(3, -3)')",0.5748691288888539,0.5471878044749136
"('C(2, 0)', 'C(3, -2)')",0.22678528900168862,0.42325664717734546
"('C(2, 0)', 'C(3, -1)')",-0.0837505999183332,0.5193764487666317
"('C(2, 0)', 'C(3, 0)')",-0.11985162046086262,1.0453042455372512
"('C(2, 0)', 'C(3, 1)')",0.10276015853709014,0.6963179657872244
"('C(2, 0)', 'C(3, 2)')",0.16942790501186314,0.7399848746089851
"('C(2, 0)', 'C(3, 3)')",-0.12412989621821757,0.6752120672274065
"('C(2, 0)', 'C(4, -3)')",0.2662652596434621,0.4975704068535871
"('C(2, 0)', 'C(4, -2)')",0.32025035098406485,0.4324924209008357
"('C(2, 0)', 'C(4, -1)')",-0.10589328050524055,0.9422440210357268
"('C(2, 0)', 'C(4, 0)')",0.4039441937929492,0.5869402626387035
"('C(2, 0)', 'C(4, 1)')",0.6871657453703992,1.2468972101692126
"('C(2, 0)', 'C(4, 2)')",0.4172382595777409,0.5013050094767539
"('C(2, 0)', 'C(4, 3)')",0.17421830635402177,0.5444479795449398
"('C(2, 1)', 'C(2, 2)')",-0.7620461870604175,0.40885932250120505
"('C(2, 1)', 'C(2, 3)')",-0.2467665703230925,0.48341287324841437
"('C(2, 1)', 'C(3, -3)')",-0.03221327367525839,0.3633353918712074
"('C(2, 1)', 'C(3, -2)')",-0.34192049434366545,0.3840832772963882
"('C(2, 1)', 'C(3, -1)')",-0.45976306046535265,0.44215663126542915
"('C(2, 1)', 'C(3, 0)')",-0.27753152951498566,0.6311920748768325
"('C(2, 1)', 'C(3, 1)')",-0.663898640370612,0.5055337781291465
"('C(2, 1)', 'C(3, 2)')",-0.35163701947054354,0.7231373316835948
"('C(2, 1)', 'C(3, 3)')",-0.6704802272248013,0.5400148912115588
"('C(2, 1)', 'C(4, -3)')",-0.21708570455152656,0.458340579300407
"('C(2, 1)', 'C(4, -2)')",-0.28686053216746793,0.3994451970809903
"('C(2, 1)', 'C(4, -1)')",-0.7646335780187522,0.8185186024066156
"('C(2, 1)', 'C(4, 0)')",-0.26390847439643284,0.357159017434492
"('C(2, 1)', 'C(4, 1)')",-0.053432966988902764,0.7498090662841894
"('C(2, 1)', 'C(4, 2)')",-0.11488058416044408,0.44716188050016226
"('C(2, 1)', 'C(4, 3)')",-0.26077920254093123,0.42162643403978695
"('C(2, 2)', 'C(2, 3)')",-0.33027381060539696,0.662121731060007
"('C(2, 2)', 'C(3, -3)')",-0.18125347569176187,0.6190022437176684
"('C(2, 2)', 'C(3, -2)')",-0.1993460204136138,0.6351363882096189
"('C(2, 2)', 'C(3, -1)')",-0.5996057177961343,0.5684195097792063
"('C(2, 2)', 'C(3, 0)')",-1.1018852631942524,1.1891119260420167
"('C(2, 2)', 'C(3, 1)')",-0.6366257240895914,0.6889803055198644
"('C(2, 2)', 'C(3, 2)')",-0.49765998500421516,0.9754301451373092
